#,Address,Source,Live Registers,Sampling Data (All),Sampling Data (Not Issued),Instructions Executed,Predicated-On Thread Instructions Executed,Memory Address Space,Memory Access Operation,Memory Access Size,Memory L1 Transactions Global,Memory L1 Transactions Shared,Memory L2 Transactions Global,stall_barrier,stall_dispatch,stall_drain,stall_imc,stall_lg,stall_long_sb,stall_math,stall_membar,stall_mio,stall_misc,stall_no_inst,stall_not_selected,stall_selected,stall_short_sb,stall_sleep,stall_tex,stall_wait,stall_barrier (Not Issued),stall_dispatch (Not Issued),stall_drain (Not Issued),stall_imc (Not Issued),stall_lg (Not Issued),stall_long_sb (Not Issued),stall_math (Not Issued),stall_membar (Not Issued),stall_mio (Not Issued),stall_misc (Not Issued),stall_no_inst (Not Issued),stall_not_selected (Not Issued),stall_selected (Not Issued),stall_short_sb (Not Issued),stall_sleeping (Not Issued),stall_tex (Not Issued),stall_wait (Not Issued)
11,00000013 2fa7d4a0,"     SHF.R.S32.HI R14, RZ, 0x5, R5 ",7,2,0,4096,131072,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,00000013 2fa7d4b0,"     LOP3.LUT R2, R5, 0x1f, RZ, 0xc0, !PT ",8,1,1,4096,131072,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,00000013 2fa7d4c0,@P0  BRA 0x132fa7d710 ,8,0,0,4096,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,00000013 2fa7d4d0,"     MOV R4, RZ ",8,1,1,4096,131072,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15,00000013 2fa7d4e0,"     MOV R3, RZ ",8,2,0,4096,131072,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,00000013 2fa7d4f0,"@!PT SHFL.IDX PT, RZ, RZ, RZ, RZ ",8,78,46,327680,0,,,,,,,0,3,0,0,0,0,0,0,0,1,71,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,43,0,0,0,0,0,0
17,00000013 2fa7d500,"     MOV R10, 0x4 ",9,42,14,327680,10485760,,,,,,,0,1,0,0,0,0,5,0,0,1,16,1,18,0,0,0,0,0,1,0,0,0,0,4,0,0,1,8,0,0,0,0,0,0
18,00000013 2fa7d510,"     IMAD.WIDE R8, R7, R10, c[0x0][0x178] ",11,80,26,327680,10485760,,,,,,,0,1,0,2,0,0,0,0,0,0,0,16,12,0,0,0,49,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,24
19,00000013 2fa7d520,"     LDG.E.CONSTANT.SYS R8, [R8] ",10,174,87,327680,10485760,Global,Load,32,327680,,327680,0,3,0,0,0,0,0,0,0,0,0,13,12,0,0,0,146,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86
20,00000013 2fa7d530,"     ISETP.GE.AND P0, PT, R5, c[0x0][0x198], PT ",10,18,0,327680,10485760,,,,,,,0,4,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,00000013 2fa7d540,"     BMOV.32.CLEAR RZ, B0 ",10,13,0,327680,10485760,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,00000013 2fa7d550,"     BSSY B0, 0x132fa7d6e0 ",10,20,0,327680,10485760,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,00000013 2fa7d560,"     FMNMX.FTZ R6, RZ, R8, !PT ",11,513,301,327680,10485760,,,,,,,0,4,0,0,0,469,4,0,0,1,0,23,12,0,0,0,0,0,0,0,0,0,298,2,0,0,1,0,0,0,0,0,0,0
24,00000013 2fa7d570,@P0  BRA 0x132fa7d6d0 ,10,174,74,327680,10158080,,,,,,,0,4,0,0,0,0,0,0,0,0,0,19,19,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74
25,00000013 2fa7d580,"     IMAD.WIDE R8, R7, R10, c[0x0][0x170] ",12,101,50,327680,327680,,,,,,,0,2,0,0,0,0,0,0,0,3,35,6,12,0,0,0,43,0,2,0,0,0,0,0,0,0,2,18,0,0,0,0,0,28
26,00000013 2fa7d590,"     LDG.E.CONSTANT.SYS R18, [R8] ",10,170,75,327680,327680,Global,Load,32,327680,,327680,0,5,0,0,0,0,0,0,0,0,0,13,8,0,0,0,144,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74
27,00000013 2fa7d5a0,"     FADD.FTZ R6, R6, 9.9999999747524270788e-07 ",10,17,0,327680,327680,,,,,,,0,3,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,00000013 2fa7d5b0,"     MOV R12, R5 ",11,15,0,327680,327680,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
