#,Address,Source,Live Registers,Sampling Data (All),Sampling Data (Not Issued),Instructions Executed,Predicated-On Thread Instructions Executed,Memory Address Space,Memory Access Operation,Memory Access Size,Memory L1 Transactions Global,Memory L1 Transactions Shared,Memory L2 Transactions Global,Memory L2 Transactions Local,stall_barrier,stall_dispatch,stall_drain,stall_imc,stall_lg,stall_long_sb,stall_math,stall_membar,stall_mio,stall_misc,stall_no_inst,stall_not_selected,stall_selected,stall_short_sb,stall_sleep,stall_tex,stall_wait,stall_barrier (Not Issued),stall_dispatch (Not Issued),stall_drain (Not Issued),stall_imc (Not Issued),stall_lg (Not Issued),stall_long_sb (Not Issued),stall_math (Not Issued),stall_membar (Not Issued),stall_mio (Not Issued),stall_misc (Not Issued),stall_no_inst (Not Issued),stall_not_selected (Not Issued),stall_selected (Not Issued),stall_short_sb (Not Issued),stall_sleeping (Not Issued),stall_tex (Not Issued),stall_wait (Not Issued)
174,00000013 2fa942d0,"     SEL R13, R48, R13, P0 ",,4,2,38400,1228800,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
175,00000013 2fa942e0,"     IADD3 R13, R13, 0xf, RZ ",,5,2,38400,1228800,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
176,00000013 2fa942f0,"     SHF.R.S32.HI R12, RZ, 0x1f, R13 ",,3,1,38400,1228800,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
177,00000013 2fa94300,"     LEA.HI R12, R12, R13, RZ, 0x4 ",,2,2,38400,1228800,,,,,,,,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
178,00000013 2fa94310,"     SHF.R.S32.HI R51, RZ, 0x4, R12 ",,4,2,38400,1228800,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
179,00000013 2fa94320,"     ISETP.GT.AND P0, PT, R51, R32, PT ",,1,0,38400,1228800,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,00000013 2fa94330,"     ISETP.LT.OR P0, PT, R13, 0x10, P0 ",,6,3,38400,1228800,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
181,00000013 2fa94340,@P0  BRA 0x132fa96210 ,,6,3,38400,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
182,00000013 2fa94350,"     S2R R54, SR_TID.X ",,15,13,38400,1228800,,,,,,,,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,1
183,00000013 2fa94360,"     SHF.R.U32.HI R54, RZ, 0x5, R54 ",,36,20,38400,1228800,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,1,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0
184,00000013 2fa94370,"     ISETP.GE.AND P0, PT, R54, R51, PT ",,8,3,38400,1228800,,,,,,,,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
185,00000013 2fa94380,"     FSEL R7, R7, RZ, P0 ",,8,4,38400,1228800,,,,,,,,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3
186,00000013 2fa94390,"     FSEL R6, R6, RZ, P0 ",,2,2,38400,1228800,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
187,00000013 2fa943a0,"     FSEL R5, R5, RZ, P0 ",,2,0,38400,1228800,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,00000013 2fa943b0,"     FSEL R4, R4, RZ, P0 ",,3,3,38400,1228800,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
189,00000013 2fa943c0,"     FSEL R11, R11, RZ, P0 ",,1,0,38400,1228800,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,00000013 2fa943d0,"     FSEL R10, R10, RZ, P0 ",,2,1,38400,1228800,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
191,00000013 2fa943e0,"     FSEL R9, R9, RZ, P0 ",,6,1,38400,1228800,,,,,,,,0,0,0,0,0,0,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
192,00000013 2fa943f0,"     FSEL R8, R8, RZ, P0 ",,2,0,38400,1228800,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,00000013 2fa94400,@!P1 BRA 0x132fa95ff0 ,,2,0,38400,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,00000013 2fa94410,"     IMAD.SHL.U32 R50, R51, 0x100, RZ ",,6,4,38400,1228800,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
195,00000013 2fa94420,"     IMAD.MOV.U32 R52, RZ, RZ, RZ ",,2,0,38400,1228800,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,00000013 2fa94430,"     SHF.R.S32.HI R53, RZ, 0x1f, R50 ",,9,3,38400,1228800,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
197,00000013 2fa94440,"@!PT SHFL.IDX PT, RZ, RZ, RZ, RZ ",,27,11,76800,0,,,,,,,,0,0,0,0,0,0,0,0,2,0,20,0,1,0,0,0,4,0,0,0,0,0,0,0,0,2,0,7,0,0,0,0,0,2
198,00000013 2fa94450,"     IMAD.SHL.U32 R12, R52, 0x10, RZ ",,2,1,76800,2457600,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
199,00000013 2fa94460,"     ISETP.GE.AND P0, PT, R12, c[0x0][0x190], PT ",,11,3,76800,2457600,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
200,00000013 2fa94470,@P0  BRA 0x132fa95ff0 ,,34,18,76800,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
201,00000013 2fa94480,"     S2R R17, SR_TID.X ",,20,15,76800,2457600,,,,,,,,0,0,0,0,0,0,0,0,11,0,0,1,1,0,0,0,7,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,5
202,00000013 2fa94490,"     BMOV.32.CLEAR RZ, B0 ",,1,0,76800,2457600,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,00000013 2fa944a0,"     BSSY B0, 0x132fa94ef0 ",,0,0,76800,2457600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,00000013 2fa944b0,"     ISETP.GE.AND P0, PT, R17, R50, PT ",,62,34,76800,2457600,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,6,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0
205,00000013 2fa944c0,@P0  BRA 0x132fa94ee0 ,,31,18,76800,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
206,00000013 2fa944d0,"     IMAD.IADD R13, R49, 0x1, R46 ",,9,2,76800,2457600,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
207,00000013 2fa944e0,"     IMAD.SHL.U32 R12, R51, 0x100, RZ ",,2,1,76800,2457600,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
208,00000013 2fa944f0,"@!PT SHFL.IDX PT, RZ, RZ, RZ, RZ ",,34,20,128000,0,,,,,,,,0,0,0,0,0,0,0,0,6,0,9,4,1,0,0,0,14,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,10
